source,model,model_type,init_date,target_month,nino34_anom,member_id,lead_months,temporal_resolution,anomaly_base_period,roni_anom,tropical_mean_anom
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.2058089971542358,ens_E3_010,2,monthly,1991-2020,0.7330641746520996,0.47274482250213623
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.306546926498413,ens_E3_010,3,monthly,1991-2020,0.7659136056900024,0.5406333208084106
CFS,CFSv2,dynamical,2026-04-27,2026-08,1.9456777572631836,ens_E3_010,4,monthly,1991-2020,1.3627722263336182,0.5829055309295654
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.0491225719451904,ens_E3_010,5,monthly,1991-2020,1.3410921096801758,0.7080304622650146
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.8168210983276367,ens_E3_010,6,monthly,1991-2020,2.085017204284668,0.7318038940429688
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.011352062225342,ens_E3_010,7,monthly,1991-2020,2.279911756515503,0.7314403057098389
CFS,CFSv2,dynamical,2026-04-27,2026-12,2.6186015605926514,ens_E3_010,8,monthly,1991-2020,1.8339715003967285,0.7846300601959229
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.3148510456085205,ens_E3_010,9,monthly,1991-2020,1.509787678718567,0.8050633668899536
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.9072889089584351,ens_E3_011,1,monthly,1991-2020,0.5621916651725769,0.34509724378585815
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.4041404724121094,ens_E3_011,2,monthly,1991-2020,1.0680042505264282,0.33613622188568115
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.0515120029449463,ens_E3_011,3,monthly,1991-2020,1.756303310394287,0.2952086925506592
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.6758999824523926,ens_E3_011,4,monthly,1991-2020,2.3345346450805664,0.34136533737182617
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.9808595180511475,ens_E3_011,5,monthly,1991-2020,2.51397442817688,0.4668850898742676
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.676265001296997,ens_E3_011,6,monthly,1991-2020,3.2396175861358643,0.4366474151611328
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.742919445037842,ens_E3_011,7,monthly,1991-2020,3.1911892890930176,0.5517301559448242
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.54377818107605,ens_E3_011,8,monthly,1991-2020,2.882573127746582,0.6612050533294678
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.7597577571868896,ens_E3_011,9,monthly,1991-2020,1.9637737274169922,0.7959840297698975
CFS,CFSv2,dynamical,2026-04-27,2026-05,0.873522937297821,ens_E3_012,1,monthly,1991-2020,0.5146288275718689,0.35889410972595215
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.4417297840118408,ens_E3_012,2,monthly,1991-2020,1.0051860809326172,0.43654370307922363
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.0164124965667725,ens_E3_012,3,monthly,1991-2020,1.6673698425292969,0.3490426540374756
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.3150782585144043,ens_E3_012,4,monthly,1991-2020,1.9399794340133667,0.3750988245010376
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.64593243598938,ens_E3_012,5,monthly,1991-2020,2.2902326583862305,0.3556997776031494
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.015693426132202,ens_E3_012,6,monthly,1991-2020,2.7223246097564697,0.2933688163757324
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.187300205230713,ens_E3_012,7,monthly,1991-2020,2.9640135765075684,0.22328662872314453
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.0865142345428467,ens_E3_012,8,monthly,1991-2020,2.7208573818206787,0.36565685272216797
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.88158917427063,ens_E3_012,9,monthly,1991-2020,2.3512065410614014,0.5303826332092285
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.049574613571167,ens_E3_013,1,monthly,1991-2020,0.6251795291900635,0.4243950843811035
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.3964625597000122,ens_E3_013,2,monthly,1991-2020,0.8568302392959595,0.5396323204040527
CFS,CFSv2,dynamical,2026-04-27,2026-07,1.8698277473449707,ens_E3_013,3,monthly,1991-2020,1.3806053400039673,0.4892224073410034
CFS,CFSv2,dynamical,2026-04-27,2026-08,1.9734917879104614,ens_E3_013,4,monthly,1991-2020,1.4405992031097412,0.5328925848007202
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.2165298461914062,ens_E3_013,5,monthly,1991-2020,1.5986486673355103,0.617881178855896
CFS,CFSv2,dynamical,2026-04-27,2026-10,2.528594732284546,ens_E3_013,6,monthly,1991-2020,2.0105724334716797,0.5180222988128662
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.254448175430298,ens_E3_013,7,monthly,1991-2020,2.7208776473999023,0.5335705280303955
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.2154533863067627,ens_E3_013,8,monthly,1991-2020,2.656960964202881,0.5584924221038818
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.505542278289795,ens_E3_013,9,monthly,1991-2020,1.750769019126892,0.7547732591629028
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.0517133474349976,ens_E3_014,1,monthly,1991-2020,0.6259756088256836,0.42573773860931396
CFS,CFSv2,dynamical,2026-04-27,2026-06,1.558732271194458,ens_E3_014,2,monthly,1991-2020,1.0569379329681396,0.5017943382263184
CFS,CFSv2,dynamical,2026-04-27,2026-07,2.197462320327759,ens_E3_014,3,monthly,1991-2020,1.757295846939087,0.4401664733886719
CFS,CFSv2,dynamical,2026-04-27,2026-08,2.7318084239959717,ens_E3_014,4,monthly,1991-2020,2.2074100971221924,0.5243983268737793
CFS,CFSv2,dynamical,2026-04-27,2026-09,2.8226451873779297,ens_E3_014,5,monthly,1991-2020,2.30131459236145,0.5213305950164795
CFS,CFSv2,dynamical,2026-04-27,2026-10,3.206322431564331,ens_E3_014,6,monthly,1991-2020,2.677025079727173,0.5292973518371582
CFS,CFSv2,dynamical,2026-04-27,2026-11,3.321256637573242,ens_E3_014,7,monthly,1991-2020,2.709740161895752,0.6115164756774902
CFS,CFSv2,dynamical,2026-04-27,2026-12,3.5780882835388184,ens_E3_014,8,monthly,1991-2020,2.945157051086426,0.6329312324523926
CFS,CFSv2,dynamical,2026-04-27,2027-01,2.8667707443237305,ens_E3_014,9,monthly,1991-2020,2.139847993850708,0.7269227504730225
CFS,CFSv2,dynamical,2026-04-27,2026-05,1.066469430923462,ens_E3_015,1,monthly,1991-2020,0.6760277152061462,0.3904417157173157
